"Date & Time","Sample ID","Sample Type","Gln","Glu","Gluc","Lac","NH4+","Na+","K+","Ca++","pH","PO2","PCO2","Osm","Vessel ID","Batch ID","Cell Type","Vessel Temperature (°C)","Vessel Pressure (psi)","Sparging O2%","Chemistry Dilution Ratio","pH @ Temp","PCO2 @ Temp","PO2 @ Temp","O2 Saturation","CO2 Saturation","HCO3","Chemistry Flow Time","pH / Gas Flow Time","Tray Location","Time In Tray","Sample Time","Operator",
10/21/2024  13:12:49,E36S11 D14,Default,,11.26,2.92,0.14,18.77,143.5,18.75,0.20,7.527,181.0,,475,,SI-50E15,,37.0,0.0,20.9,1:1,7.527,,181.0,100.0,,,7.45,3.65,14,6:39,10/21/2024  13:12:49,Flex2admin,
10/21/2024  13:15:41,E36S12 D14,Default,,10.99,6.15,0.16,20.36,147.1,19.28,0.21,7.578,181.6,,503,,SI-50E15,,37.0,0.0,20.9,1:1,7.578,,181.6,100.0,,,7.48,3.67,15,9:24,10/21/2024  13:15:41,Flex2admin,
10/21/2024  13:18:33,E36S17 D14,Default,,7.91,3.01,0.16,25.18,147.2,19.45,0.19,7.685,176.9,,480,,SI-50E15,,37.0,0.0,20.9,1:1,7.685,,176.9,100.0,,,7.27,3.68,16,12:10,10/21/2024  13:18:33,Flex2admin,
10/21/2024  13:21:25,E36S19 D14,Default,,8.72,3.26,0.15,21.96,145.3,19.14,0.20,7.659,178.7,,482,,SI-50E15,,37.0,0.0,20.9,1:1,7.659,,178.7,100.0,,,7.31,3.66,17,14:57,10/21/2024  13:21:25,Flex2admin,
10/21/2024  13:24:22,E36S20 D14,Default,,8.15,3.00,0.28,19.47,147.4,19.28,0.18,7.625,168.4,,490,,SI-50E15,,37.0,0.0,20.9,1:1,7.625,,168.4,100.0,,,7.41,3.73,18,17:50,10/21/2024  13:24:22,Flex2admin,
10/21/2024  14:09:15,FEED 1,Default,,,,,,,,,,,,,,SI-50E15,,37.0,0.0,20.9,1:1,,,,,,,,,21,0:32,10/21/2024  14:09:15,Flex2admin,
10/21/2024  14:13:39,FEED 1 YW,Default,0.13,0.63,5.35,0.05,0.17,7.9,0.32,0.03,8.115,197.4,0.0,61,,,,37.0,0.0,20.9,1:1,8.115,0.0,197.4,100.0,0.0,0.0,7.44,3.77,1,0:05,10/21/2024  14:13:39,Flex2admin,
10/22/2024  11:31:10,E36D15SF01,Default,,13.75,0.04,0.44,17.33,153.4,18.72,0.16,7.426,26.7,66.6,475,,,,37.0,0.0,20.9,1:1,7.426,66.6,26.7,17.6,9.2,44.2,7.59,3.88,4,1:40,10/22/2024  11:31:10,Flex2admin,
10/22/2024  11:34:14,E36D15SF03,Default,,11.77,0.04,0.13,15.32,154.8,16.24,0.18,7.448,0.0,88.5,456,,,,37.0,0.0,20.9,1:1,7.448,88.5,0.0,0.0,12.2,61.9,7.56,3.75,5,4:17,10/22/2024  11:34:14,Flex2admin,
10/22/2024  11:37:11,E36D15SF04,Default,,10.81,0.03,0.20,18.28,154.6,17.49,0.21,7.531,10.7,73.3,459,,,,37.0,0.0,20.9,1:1,7.531,73.3,10.7,7.0,10.1,62.0,7.31,3.86,6,7:06,10/22/2024  11:37:11,Flex2admin,
10/22/2024  11:40:03,E36D15SF05,Default,,6.61,0.03,0.15,17.48,154.2,18.22,0.16,7.608,30.7,65.3,474,,,,37.0,0.0,20.9,1:1,7.608,65.3,30.7,20.2,9.0,65.8,7.62,3.84,7,9:54,10/22/2024  11:40:03,Flex2admin,
10/22/2024  11:42:59,E36D15SF06,Default,,11.58,0.00,0.13,15.61,156.7,16.41,0.18,7.457,1.7,78.8,462,,,,37.0,0.0,20.9,1:1,7.457,78.8,1.7,1.2,10.9,56.2,7.56,3.86,8,12:47,10/22/2024  11:42:59,Flex2admin,
10/22/2024  11:45:51,E36D15SF07,Default,,12.52,4.09,0.20,16.45,151.6,17.32,0.20,7.471,19.0,74.4,488,,,,37.0,0.0,20.9,1:1,7.471,74.4,19.0,12.6,10.2,54.8,7.60,3.79,9,15:36,10/22/2024  11:45:51,Flex2admin,
10/22/2024  11:48:43,E36D15SF08,Default,,12.43,2.12,0.16,16.90,153.0,17.71,0.21,7.473,34.3,70.1,477,,,,37.0,0.0,20.9,1:1,7.473,70.1,34.3,22.6,9.7,51.8,7.22,3.78,10,18:25,10/22/2024  11:48:43,Flex2admin,
10/22/2024  11:51:29,E36D15SF10,Default,,11.95,0.23,1.87,18.25,150.6,19.16,0.16,7.219,43.3,50.3,478,,,,37.0,0.0,20.9,1:1,7.219,50.3,43.3,28.5,6.9,20.7,7.26,3.68,11,20:49,10/22/2024  11:51:29,Flex2admin,
10/22/2024  11:54:20,E36D15SF13,Default,,8.29,0.02,0.13,17.22,156.9,16.81,0.17,7.543,9.9,82.7,467,,,,37.0,0.0,20.9,1:1,7.543,82.7,9.9,6.5,11.4,71.8,7.40,3.86,12,23:31,10/22/2024  11:54:20,Flex2admin,
10/22/2024  11:57:11,E36D15SF14,Default,,10.94,2.82,0.96,7.19,156.1,16.21,0.20,7.191,28.4,72.8,489,,,,37.0,0.0,20.9,1:1,7.191,72.8,28.4,18.7,10.0,28.1,7.30,3.79,13,26:16,10/22/2024  11:57:11,Flex2admin,
10/22/2024  12:02:10,E36D15SF15,Default,,10.74,0.08,0.06,15.65,158.8,16.60,0.19,7.481,35.2,,462,,,,37.0,0.0,20.9,1:1,7.481,,35.2,23.2,,,7.35,3.76,14,31:12,10/22/2024  12:02:10,Flex2admin,
10/22/2024  12:05:11,E36D15SF16,Default,,13.70,7.22,1.00,8.78,158.0,17.07,0.20,7.256,74.5,,528,,,,37.0,0.0,20.9,1:1,7.256,,74.5,49.1,,,7.35,3.81,15,34:10,10/22/2024  12:05:11,Flex2admin,
10/22/2024  12:08:07,E36D15SF18,Default,,12.68,5.92,0.55,9.30,157.8,16.83,0.20,7.374,80.0,,528,,,,37.0,0.0,20.9,1:1,7.374,,80.0,52.7,,,7.29,3.82,16,37:02,10/22/2024  12:08:07,Flex2admin,
10/22/2024  15:45:24,E35BRX04 D15,Default,4.89,3.97,3.35,0.34,13.83,158.8,13.54,0.16,7.076,42.8,492.4,481,,,,37.0,0.0,20.9,1:1,7.076,492.4,42.8,28.3,68.0,146.2,7.38,3.25,,,10/22/2024  15:45:24,Flex2admin,
10/22/2024  15:48:37,E37BRX01 D05,Default,0.15,2.59,4.64,1.67,3.09,93.8,7.65,0.21,6.625,86.3,24.1,282,,,,37.0,0.0,20.9,1:1,6.625,24.1,86.3,57.0,3.3,2.5,7.47,3.46,,,10/22/2024  15:48:37,Flex2admin,
10/22/2024  15:52:50,E37BRX02 D05,Default,0.10,2.62,3.12,1.16,1.71,93.2,6.53,0.20,6.902,60.5,18.4,263,,,,37.0,0.0,20.9,1:1,6.902,18.4,60.5,40.0,2.5,3.6,7.56,3.51,,,10/22/2024  15:52:50,Flex2admin,
10/23/2024  10:03:13,E35BRX04 D16,Default,5.11,2.63,1.13,0.43,13.12,157.9,12.85,0.15,7.243,29.0,301.5,461,,,,37.0,0.0,20.9,1:1,7.243,301.5,29.0,19.2,41.6,131.2,7.46,3.28,,,10/23/2024  10:03:13,Flex2admin,
10/24/2024  16:17:28,E37BRX01 D07,Default,0.12,2.81,3.18,2.29,3.16,101.4,7.36,0.20,6.830,74.1,0.4,285,,,,37.0,0.0,20.9,1:1,6.830,0.4,74.1,49.1,0.1,0.1,7.48,3.21,,,10/24/2024  16:17:28,Flex2admin,
10/24/2024  16:25:15,E37BRX02 D07,Default,0.10,1.69,1.44,0.04,2.19,95.8,5.91,0.19,6.991,38.6,151.6,243,,,,37.0,0.0,20.9,1:1,6.991,151.6,38.6,25.6,21.0,37.0,7.66,3.29,,,10/24/2024  16:25:15,Flex2admin,
10/28/2024  16:14:08,E37BRX01 D011,Default,0.89,5.00,3.45,1.30,3.35,110.6,8.65,0.23,6.943,57.6,,314,,,,37.0,0.0,20.9,1:1,6.943,,57.6,38.6,,,7.58,3.46,,,10/28/2024  16:14:08,Flex2admin,
10/28/2024  16:18:37,E37BRX02 D11,Default,0.07,0.78,0.01,0.06,4.36,96.1,8.53,0.24,6.954,153.5,,246,,,,37.0,0.0,20.9,1:1,6.954,,153.5,100.0,,,7.34,3.37,,,10/28/2024  16:18:37,Flex2admin,
10/28/2024  16:23:38,E37BRX02 D11,Default,0.30,2.07,5.55,0.07,4.29,96.6,9.17,0.24,6.963,153.6,,285,,,,37.0,0.0,20.9,1:1,6.963,,153.6,100.0,,,7.49,3.32,,,10/28/2024  16:23:38,Flex2admin,
10/30/2024  14:02:30,F-1,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,19,2:13,10/30/2024  14:02:30,Flex2admin,
10/30/2024  14:03:42,F-2,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,20,1:59,10/30/2024  14:03:42,Flex2admin,
10/30/2024  14:04:58,F-3,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,21,3:14,10/30/2024  14:04:58,Flex2admin,
10/30/2024  14:06:10,F-4,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,22,4:25,10/30/2024  14:06:10,Flex2admin,
10/30/2024  14:07:22,F-5,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,23,5:36,10/30/2024  14:07:22,Flex2admin,
10/30/2024  14:08:34,F-6,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,24,6:48,10/30/2024  14:08:34,Flex2admin,
10/30/2024  14:09:45,F-7,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,1,7:59,10/30/2024  14:09:45,Flex2admin,
10/30/2024  14:10:57,F-8,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,2,9:11,10/30/2024  14:10:57,Flex2admin,
10/30/2024  14:12:09,F-9,Default,,,,,,,,,4.997,188.2,,312,,,,37.0,0.0,20.9,,4.997,,188.2,100.0,,,,3.84,3,10:22,10/30/2024  14:12:09,Flex2admin,
10/30/2024  14:15:18,F-10,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,4,13:31,10/30/2024  14:15:18,Flex2admin,
10/30/2024  14:16:30,F-11,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,5,14:42,10/30/2024  14:16:30,Flex2admin,
10/30/2024  14:17:42,F-12,Default,,,,,,,,,4.963,194.6,,303,,,,37.0,0.0,20.9,,4.963,,194.6,100.0,,,,3.77,6,15:54,10/30/2024  14:17:42,Flex2admin,
10/30/2024  14:20:37,F-13,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,7,18:48,10/30/2024  14:20:37,Flex2admin,
10/30/2024  14:21:49,F-14,Default,,,,,,,,,4.958,146.0,,304,,,,37.0,0.0,20.9,,4.958,,146.0,98.2,,,,3.76,8,20:00,10/30/2024  14:21:49,Flex2admin,
10/30/2024  14:24:57,F-15,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,9,23:07,10/30/2024  14:24:57,Flex2admin,
10/30/2024  14:26:09,F-16,Default,,,,,,,,,5.055,180.9,,275,,,,37.0,0.0,20.9,,5.055,,180.9,100.0,,,,3.73,10,23:01,10/30/2024  14:26:09,Flex2admin,
10/30/2024  14:28:58,F-17,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,11,25:50,10/30/2024  14:28:58,Flex2admin,
10/30/2024  14:30:10,F-18,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,12,27:01,10/30/2024  14:30:10,Flex2admin,
10/31/2024  14:14:59,E37D14BRX01,Default,0.73,5.18,4.13,0.05,8.20,114.9,9.50,0.20,7.069,79.5,,329,,,,37.0,0.0,20.9,1:1,7.069,,79.5,53.3,,,7.50,3.61,,,10/31/2024  14:14:59,Flex2admin,
10/31/2024  14:20:14,E37D14BRX02,Default,0.31,2.74,8.56,0.06,5.51,98.4,9.70,0.21,6.957,142.4,,315,,,,37.0,0.0,20.9,1:1,6.957,,142.4,95.6,,,7.62,3.26,,,10/31/2024  14:20:14,Flex2admin,
10/31/2024  15:53:19,F-1,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,15,2:45:46,10/31/2024  15:53:19,Flex2admin,
10/31/2024  15:54:36,F-2,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,16,3:17,10/31/2024  15:54:36,Flex2admin,
10/31/2024  15:55:48,F-3,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,17,4:02,10/31/2024  15:55:48,Flex2admin,
10/31/2024  15:56:59,F-4,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,18,5:13,10/31/2024  15:56:59,Flex2admin,
10/31/2024  15:58:11,F-5,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,19,6:24,10/31/2024  15:58:11,Flex2admin,
10/31/2024  15:59:23,F-6,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,20,7:36,10/31/2024  15:59:23,Flex2admin,
10/31/2024  16:02:33,F-7,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,21,10:45,10/31/2024  16:02:33,Flex2admin,
10/31/2024  16:03:45,F-8,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,22,11:57,10/31/2024  16:03:45,Flex2admin,
10/31/2024  16:05:02,F-9,Default,,,,,,,,,4.984,186.8,,314,,,,37.0,0.0,20.9,,4.984,,186.8,100.0,,,,3.79,23,13:13,10/31/2024  16:05:02,Flex2admin,
10/31/2024  16:08:02,F-10,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,24,16:13,10/31/2024  16:08:02,Flex2admin,
10/31/2024  16:09:13,F-11,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,1,17:24,10/31/2024  16:09:13,Flex2admin,
10/31/2024  16:10:25,F-12,Default,,,,,,,,,4.955,181.1,,308,,,,37.0,0.0,20.9,,4.955,,181.1,100.0,,,,3.82,2,18:36,10/31/2024  16:10:25,Flex2admin,
10/31/2024  16:13:25,F-13,Default,,,,,,,,,,,,,,,,37.0,0.0,20.9,,,,,,,,,,3,21:35,10/31/2024  16:13:25,Flex2admin,
10/31/2024  16:14:37,F-14,Default,,,,,,,,,,,,296,,,,37.0,0.0,20.9,,,,,,,,,,4,22:47,10/31/2024  16:14:37,Flex2admin,
10/31/2024  16:17:22,F-15,Default,,,,,,,,,,,,267,,,,37.0,0.0,20.9,,,,,,,,,,5,25:32,10/31/2024  16:17:22,Flex2admin,
10/31/2024  16:20:06,F-16,Default,,,,,,,,,,,,274,,,,37.0,0.0,20.9,,,,,,,,,,6,26:15,10/31/2024  16:20:06,Flex2admin,
11/1/2024  11:44:11,E37BRX01 D15,Default,0.37,4.54,3.58,0.02,10.42,115.1,9.64,0.21,7.193,80.9,,329,,,,37.0,0.0,20.9,1:1,7.193,,80.9,54.8,,,7.48,3.60,,,11/1/2024  11:44:11,Flex2admin,
